[2071097453(TR: 10.91525, TS: 10.56025) -> {880680199=580, 1689826712=258, 1119091505=242, 1998680479=241, 55964929=12, 1720288815=9, 1236336798=9, 1313328519=8, 1561859852=5, 869939083=3, 635680347=3, 426551051=2, 2138915098=1, 338809723=1, 1509037246=1, 184418917=1}]
[122981090(TR: 10.91529, TS: 10.56516) -> {880680199=250, 1689826712=115, 1119091505=115, 1998680479=115}]
[1111548536(TR: 10.91533, TS: 10.51940) -> {880680199=144, 1689826712=64, 1119091505=64, 1998680479=64}]
[1194940680(TR: 10.91536, TS: 10.55686) -> {880680199=357, 1689826712=160, 1119091505=152, 1998680479=152, 1720288815=3, 1236336798=3, 55964929=3, 1313328519=2, 426551051=2, 1561859852=2, 2138915098=1, 338809723=1, 1509037246=1, 184418917=1}]
[799058074(TR: 10.91546, TS: 10.51344) -> {880680199=244, 1689826712=110, 1119091505=110, 1998680479=110}]
[209724438(TR: 10.91553, TS: 10.56006) -> {880680199=487, 1689826712=217, 1119091505=209, 1998680479=209, 1720288815=3, 1236336798=3, 55964929=3, 1313328519=2, 426551051=2, 1561859852=2, 2138915098=1, 338809723=1, 1509037246=1, 184418917=1}]
[1234584796(TR: 10.91566, TS: 10.56219) -> {880680199=388, 1689826712=174, 1119091505=158, 1998680479=157, 55964929=12, 1720288815=9, 1236336798=9, 1313328519=8, 1561859852=5, 869939083=3, 635680347=3, 426551051=2, 2138915098=1, 338809723=1, 1509037246=1, 184418917=1}]
[1147844095(TR: 10.91578, TS: 10.54582) -> {880680199=244, 1689826712=112, 1119091505=112, 1998680479=112}]
[1847865744(TR: 10.91580, TS: 10.56478) -> {880680199=310, 1689826712=139, 1119091505=139, 1998680479=139}]
[1661536470(TR: 10.91588, TS: 10.51018) -> {880680199=94, 1689826712=43, 1119091505=43, 1998680479=43}]
[415367375(TR: 10.91598, TS: 10.49853) -> {880680199=72, 1689826712=32, 1119091505=32, 1998680479=32}]
[160865125(TR: 10.91604, TS: 10.56264) -> {880680199=499, 1689826712=223, 1119091505=215, 1998680479=215, 1720288815=3, 1236336798=3, 55964929=3, 1313328519=2, 426551051=2, 1561859852=2, 2138915098=1, 338809723=1, 1509037246=1, 184418917=1}]
[1181844342(TR: 10.91610, TS: 10.56631) -> {880680199=539, 1689826712=239, 1119091505=231, 1998680479=231, 1720288815=3, 1236336798=3, 55964929=3, 1313328519=2, 426551051=2, 1561859852=2, 2138915098=1, 338809723=1, 1509037246=1, 184418917=1}]
[1838513366(TR: 10.91611, TS: 10.56659) -> {880680199=357, 1689826712=160, 1119091505=152, 1998680479=152, 1720288815=3, 1236336798=3, 55964929=3, 1313328519=2, 426551051=2, 1561859852=2, 2138915098=1, 338809723=1, 1509037246=1, 184418917=1}]
[1708776915(TR: 10.91615, TS: 10.56635) -> {880680199=370, 1689826712=165, 1119091505=165, 1998680479=165}]
[1479094206(TR: 10.91637, TS: 10.49309) -> {880680199=357, 1689826712=160, 1119091505=152, 1998680479=152, 1720288815=3, 1236336798=3, 55964929=3, 1313328519=2, 426551051=2, 1561859852=2, 2138915098=1, 338809723=1, 1509037246=1, 184418917=1}]
