[1358257802(TR: 10.54143, TS: 10.09614) -> {880680199=6522, 2087390487=168}]
[734428438(TR: 10.54167, TS: 10.12271) -> {880680199=4836, 2087390487=124}]
[1060313334(TR: 10.54179, TS: 10.10078) -> {880680199=4314, 2087390487=111}]
[320353506(TR: 10.54186, TS: 10.04131) -> {880680199=1092, 2087390487=28}]
[1776498949(TR: 10.54191, TS: 10.13203) -> {880680199=1092, 2087390487=28}]
[1909835746(TR: 10.54201, TS: 10.13182) -> {880680199=546, 2087390487=14}]
[1443267974(TR: 10.54206, TS: 10.12635) -> {880680199=1092, 2087390487=28}]
[74122368(TR: 10.54206, TS: 10.15352) -> {880680199=546, 2087390487=14}]
[1957707289(TR: 10.54207, TS: 10.03635) -> {880680199=3276, 2087390487=84}]
[721755578(TR: 10.54208, TS: 10.06544) -> {880680199=5070, 2087390487=130}]
[1238210537(TR: 10.54210, TS: 10.01720) -> {880680199=546, 2087390487=14}]
[366925140(TR: 10.54211, TS: 10.12765) -> {880680199=1638, 2087390487=42}]
[1626038528(TR: 10.54216, TS: 10.08206) -> {880680199=3276, 2087390487=84}]
[1669351530(TR: 10.54223, TS: 10.12340) -> {880680199=546, 2087390487=14}]
[1188559148(TR: 10.54228, TS: 10.08945) -> {880680199=9042, 2087390487=233}]
[625008855(TR: 10.54231, TS: 10.04662) -> {880680199=5976, 2087390487=154}]
[513304094(TR: 10.54258, TS: 10.07752) -> {880680199=3276, 2087390487=84}]
[2142944959(TR: 10.54268, TS: 10.10754) -> {880680199=1638, 2087390487=42}]
[115156733(TR: 10.54269, TS: 10.10189) -> {880680199=12216, 2087390487=314}]
[616114345(TR: 10.54277, TS: 10.05376) -> {880680199=2184, 2087390487=56}]
[2043413174(TR: 10.54293, TS: 10.06089) -> {880680199=6864, 2087390487=176}]
[1403585654(TR: 10.54293, TS: 10.05719) -> {880680199=5382, 2087390487=138}]
