[1607779397(TR: 11.09319, TS: 10.76008) -> {880680199=1272, 2087390487=33}]
[679825030(TR: 11.09326, TS: 10.77297) -> {880680199=624, 2087390487=16}]
[1332801255(TR: 11.09327, TS: 10.62650) -> {880680199=390, 2087390487=10}]
[1599900996(TR: 11.09332, TS: 10.67514) -> {880680199=936, 2087390487=24}]
[643009542(TR: 11.09334, TS: 10.75543) -> {880680199=858, 2087390487=22}]
[614467380(TR: 11.09337, TS: 10.75829) -> {880680199=1670, 2087390487=46, 1689826712=1, 289890178=1, 597022555=1}]
[1819267729(TR: 11.09340, TS: 10.67420) -> {880680199=858, 2087390487=22}]
[1466062069(TR: 11.09344, TS: 10.65132) -> {880680199=312, 2087390487=8}]
[1844167075(TR: 11.09356, TS: 10.73254) -> {880680199=624, 2087390487=16}]
[1230434957(TR: 11.09358, TS: 10.82033) -> {880680199=624, 2087390487=16}]
[1530878572(TR: 11.09370, TS: 10.71264) -> {880680199=1014, 2087390487=26}]
[507475970(TR: 11.09382, TS: 10.69998) -> {880680199=2280, 2087390487=60}]
[770327743(TR: 11.09385, TS: 10.71933) -> {880680199=702, 2087390487=18}]
[1406540053(TR: 11.09385, TS: 10.65974) -> {880680199=312, 2087390487=8}]
[1914426681(TR: 11.09389, TS: 10.66683) -> {880680199=546, 2087390487=14}]
[385965072(TR: 11.09399, TS: 10.67449) -> {880680199=546, 2087390487=14}]
[1756442099(TR: 11.09409, TS: 10.68572) -> {880680199=780, 2087390487=20}]
[197955393(TR: 11.09411, TS: 10.82802) -> {880680199=1170, 2087390487=30}]
[659693852(TR: 11.09412, TS: 10.72603) -> {880680199=936, 2087390487=24}]
[984487994(TR: 11.09418, TS: 10.71337) -> {880680199=1092, 2087390487=28}]
[1536259113(TR: 11.09422, TS: 10.62104) -> {880680199=546, 2087390487=14}]
[877158045(TR: 11.09424, TS: 10.72469) -> {880680199=1818, 2087390487=47}]
[44356553(TR: 11.09427, TS: 10.69903) -> {880680199=1896, 2087390487=49}]
[1216443503(TR: 11.09441, TS: 10.71334) -> {880680199=1170, 2087390487=30}]
[417427818(TR: 11.09454, TS: 10.73645) -> {880680199=936, 2087390487=24}]
[1856731229(TR: 11.09457, TS: 10.72120) -> {880680199=2436, 2087390487=64}]
[1253426394(TR: 11.09458, TS: 10.69479) -> {880680199=624, 2087390487=16}]
[164951023(TR: 11.09465, TS: 10.68529) -> {880680199=702, 2087390487=18}]
[447588766(TR: 11.09468, TS: 10.77184) -> {880680199=1092, 2087390487=28}]
